店名,評分,評論數,地址,鏈接
小胖工廠,評分未找到,評論數未找到,242新北市新莊區福壽街124巷32弄5號,https://www.google.com/maps/place/%E5%B0%8F%E8%83%96%E5%B7%A5%E5%BB%A0/data=!4m7!3m6!1s0x3442a9299301fd55:0x35c50ca7d677e241!8m2!3d25.0511264!4d121.4590865!16s%2Fg%2F11ft6bj4dw!19sChIJVf0BkympQjQRQeJ31qcMxTU?authuser=0&hl=zh-TW&rclk=1
臘腸吧,4.7 180 則評論,4.7 顆星 180,242新北市新莊區中港路No. 487,https://www.google.com/maps/place/%E8%87%98%E8%85%B8%E5%90%A7/data=!4m7!3m6!1s0x3442a9007470fc87:0x2aa356f697cbd9e8!8m2!3d25.0499299!4d121.4520737!16s%2Fg%2F11vk6y9pw_!19sChIJh_xwdACpQjQR6NnLl_ZWoyo?authuser=0&hl=zh-TW&rclk=1
EX PUB 餐酒館,3.0 ,11,242新北市新莊區四維路179巷4號,https://www.google.com/maps/place/EX+PUB+%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a735c235e3ad:0x55dad25c7c7b4bea!8m2!3d25.0210766!4d121.4224466!16s%2Fg%2F11shlbzwz5!19sChIJreM1wjWnQjQR6kt7fFzS2lU?authuser=0&hl=zh-TW&rclk=1
105度咖啡酒吧,5.0 ,25,242新北市新莊區復興路一段105巷5號,https://www.google.com/maps/place/105%E5%BA%A6%E5%92%96%E5%95%A1%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a90190a5e7f9:0xde8ae9853578cfc1!8m2!3d25.0432289!4d121.448879!16s%2Fg%2F11l7470zcx!19sChIJ-eelkAGpQjQRwc94NYXpit4?authuser=0&hl=zh-TW&rclk=1
日蝕餐酒Eclipse Bistro and Cocktails,4.9 ,248,242新北市新莊區新豐街63號,https://www.google.com/maps/place/%E6%97%A5%E8%9D%95%E9%A4%90%E9%85%92Eclipse+Bistro+and+Cocktails/data=!4m7!3m6!1s0x3442a90e32e1583d:0x35f0725eea70349b!8m2!3d25.0336068!4d121.4465031!16s%2Fg%2F11q1jgy3kx!19sChIJPVjhMg6pQjQRmzRw6l5y8DU?authuser=0&hl=zh-TW&rclk=1
金色三麥麥漢堡 宏匯新莊店,3.6 ,62,242新北市新莊區,https://www.google.com/maps/place/%E9%87%91%E8%89%B2%E4%B8%89%E9%BA%A5%E9%BA%A5%E6%BC%A2%E5%A0%A1+%E5%AE%8F%E5%8C%AF%E6%96%B0%E8%8E%8A%E5%BA%97/data=!4m7!3m6!1s0x3442a98f8c3109a1:0x9b9792a5ecc5244e!8m2!3d25.0596783!4d121.4495726!16s%2Fg%2F11l6sjy4zr!19sChIJoQkxjI-pQjQRTiTF7KWSl5s?authuser=0&hl=zh-TW&rclk=1
匠心串燒｜新莊平價串烤、燒烤、居酒屋,4.5 ,79,242新北市新莊區中誠街179號1樓,https://www.google.com/maps/place/%E5%8C%A0%E5%BF%83%E4%B8%B2%E7%87%92%EF%BD%9C%E6%96%B0%E8%8E%8A%E5%B9%B3%E5%83%B9%E4%B8%B2%E7%83%A4%E3%80%81%E7%87%92%E7%83%A4%E3%80%81%E5%B1%85%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x3442a954fc6ac353:0x201209e7d5463b39!8m2!3d25.0472399!4d121.4477605!16s%2Fg%2F11y41h4c4n!19sChIJU8Nq_FSpQjQROTtG1ecJEiA?authuser=0&hl=zh-TW&rclk=1
星光大道KTV,4.3 ,837,242新北市新莊區民安路188巷5號6樓,https://www.google.com/maps/place/%E6%98%9F%E5%85%89%E5%A4%A7%E9%81%93KTV/data=!4m7!3m6!1s0x3442a7f372aeab1b:0xb072819b51660254!8m2!3d25.0230568!4d121.4247951!16s%2Fg%2F1vf9917_!19sChIJG6uucvOnQjQRVAJmUZuBcrA?authuser=0&hl=zh-TW&rclk=1
酒樂燒烤炸物酒場(龍安店),4.9 ,23,242新北市新莊區龍安路450號,https://www.google.com/maps/place/%E9%85%92%E6%A8%82%E7%87%92%E7%83%A4%E7%82%B8%E7%89%A9%E9%85%92%E5%A0%B4%28%E9%BE%8D%E5%AE%89%E5%BA%97%29/data=!4m7!3m6!1s0x3442a7a777392535:0x3e84d0d42f87a110!8m2!3d25.0185901!4d121.4240831!16s%2Fg%2F11y3hlsq77!19sChIJNSU5d6enQjQREKGHL9TQhD4?authuser=0&hl=zh-TW&rclk=1
凱悅YESKTV新莊店,4.9 ,"15,359",242新北市新莊區中華路二段19號,https://www.google.com/maps/place/%E5%87%B1%E6%82%85YESKTV%E6%96%B0%E8%8E%8A%E5%BA%97/data=!4m7!3m6!1s0x3442a9989e7ffc63:0x7b3be491dbf949c4!8m2!3d25.0455658!4d121.4536112!16s%2Fg%2F11k5nx4j17!19sChIJY_x_npipQjQRxEn525HkO3s?authuser=0&hl=zh-TW&rclk=1
老女人茶店仔,1.0 ,2,242新北市新莊區瓊泰路40號,https://www.google.com/maps/place/%E8%80%81%E5%A5%B3%E4%BA%BA%E8%8C%B6%E5%BA%97%E4%BB%94/data=!4m7!3m6!1s0x3442a763af160ec5:0x740f07c42d414f6!8m2!3d25.0287307!4d121.44392!16s%2Fg%2F11k9qbh8rq!19sChIJxQ4Wr2OnQjQR9hTUQnzwQAc?authuser=0&hl=zh-TW&rclk=1
摩多居酒屋-新莊廟街美食燒烤酒場,4.9 ,"4,889",242新北市新莊區新莊路483號,https://www.google.com/maps/place/%E6%91%A9%E5%A4%9A%E5%B1%85%E9%85%92%E5%B1%8B-%E6%96%B0%E8%8E%8A%E5%BB%9F%E8%A1%97%E7%BE%8E%E9%A3%9F%E7%87%92%E7%83%A4%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a874dbf5af8d:0x51d4da7c98de2360!8m2!3d25.0333169!4d121.4489396!16s%2Fg%2F11b70cr9ff!19sChIJja_123SoQjQRYCPemHza1FE?authuser=0&hl=zh-TW&rclk=1
忘憂吧。炸物、燒烤、居酒、炒拉麵/寵物友善,4.8 ,369,242新北市新莊區中正路419號1 樓,https://www.google.com/maps/place/%E5%BF%98%E6%86%82%E5%90%A7%E3%80%82%E7%82%B8%E7%89%A9%E3%80%81%E7%87%92%E7%83%A4%E3%80%81%E5%B1%85%E9%85%92%E3%80%81%E7%82%92%E6%8B%89%E9%BA%B5%2F%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/data=!4m7!3m6!1s0x3442a91cb095d52b:0x196450e3f96e9911!8m2!3d25.0342485!4d121.4446952!16s%2Fg%2F11f5zr5bpp!19sChIJK9WVsBypQjQREZlu-eNQZBk?authuser=0&hl=zh-TW&rclk=1
金Jin Bistro&Restaurant,4.7 ,793,242新北市新莊區建興街25號,https://www.google.com/maps/place/%E9%87%91Jin+Bistro%26Restaurant/data=!4m7!3m6!1s0x3442a8743dff60b7:0x8d4f4cf9fd7ebfa3!8m2!3d25.0364522!4d121.4500366!16s%2Fg%2F11dfsw7vc_!19sChIJt2D_PXSoQjQRo79-_flMT40?authuser=0&hl=zh-TW&rclk=1
愛之戀卡拉OK,3.8 ,26,242新北市新莊區中正路436號,https://www.google.com/maps/place/%E6%84%9B%E4%B9%8B%E6%88%80%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442a7e0af9e0a4d:0x428faef71e1ca413!8m2!3d25.0338489!4d121.440499!16s%2Fg%2F11hcdwc85w!19sChIJTQqer-CnQjQRE6QcHveuj0I?authuser=0&hl=zh-TW&rclk=1
黑小黑串燒(新莊店) 《最新》超值吃到飽活動+火鍋+私廚料理（非營業時8人以上可預約）/平價串燒/生啤酒調酒無限暢飲/周六駐唱/生啤酒買4送一/熱炒/聚餐包場私廚料理,4.4 ,101,242新北市新莊區新北大道二段376號,https://www.google.com/maps/place/%E9%BB%91%E5%B0%8F%E9%BB%91%E4%B8%B2%E7%87%92%28%E6%96%B0%E8%8E%8A%E5%BA%97%29+%E3%80%8A%E6%9C%80%E6%96%B0%E3%80%8B%E8%B6%85%E5%80%BC%E5%90%83%E5%88%B0%E9%A3%BD%E6%B4%BB%E5%8B%95%2B%E7%81%AB%E9%8D%8B%2B%E7%A7%81%E5%BB%9A%E6%96%99%E7%90%86%EF%BC%88%E9%9D%9E%E7%87%9F%E6%A5%AD%E6%99%828%E4%BA%BA%E4%BB%A5%E4%B8%8A%E5%8F%AF%E9%A0%90%E7%B4%84%EF%BC%89%2F%E5%B9%B3%E5%83%B9%E4%B8%B2%E7%87%92%2F%E7%94%9F%E5%95%A4%E9%85%92%E8%AA%BF%E9%85%92%E7%84%A1%E9%99%90%E6%9A%A2%E9%A3%B2%2F%E5%91%A8%E5%85%AD%E9%A7%90%E5%94%B1%2F%E7%94%9F%E5%95%A4%E9%85%92%E8%B2%B74%E9%80%81%E4%B8%80%2F%E7%86%B1%E7%82%92%2F%E8%81%9A%E9%A4%90%E5%8C%85%E5%A0%B4%E7%A7%81%E5%BB%9A%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a9164b45ae45:0x140bc6bddf6a5ba5!8m2!3d25.0608433!4d121.4609451!16s%2Fg%2F11rtr_kpq_!19sChIJRa5FSxapQjQRpVtq373GCxQ?authuser=0&hl=zh-TW&rclk=1
米炭火燒肉小酒館 新莊迴龍店,4.7 ,"2,678",242新北市新莊區中正路891-17號,https://www.google.com/maps/place/%E7%B1%B3%E7%82%AD%E7%81%AB%E7%87%92%E8%82%89%E5%B0%8F%E9%85%92%E9%A4%A8+%E6%96%B0%E8%8E%8A%E8%BF%B4%E9%BE%8D%E5%BA%97/data=!4m7!3m6!1s0x3442a788f4567297:0x72d5741bad579257!8m2!3d25.0223036!4d121.4129442!16s%2Fg%2F11clyt9b7q!19sChIJl3JW9IinQjQRV5JXrRt01XI?authuser=0&hl=zh-TW&rclk=1
燒玖。零壹 - 串燒 / 海鮮 / 碳烤,4.8 ,675,242新北市新莊區龍安路438-5號,https://www.google.com/maps/place/%E7%87%92%E7%8E%96%E3%80%82%E9%9B%B6%E5%A3%B9+-+%E4%B8%B2%E7%87%92+%2F+%E6%B5%B7%E9%AE%AE+%2F+%E7%A2%B3%E7%83%A4/data=!4m7!3m6!1s0x3442a7b32d984fe5:0xf6a0a7ffe5d6d121!8m2!3d25.0186475!4d121.42372!16s%2Fg%2F11qyq6n3_n!19sChIJ5U-YLbOnQjQRIdHW5f-noPY?authuser=0&hl=zh-TW&rclk=1
浤福洋酒,4.5 ,25,242新北市新莊區頭興街172號合康新世紀B棟,https://www.google.com/maps/place/%E6%B5%A4%E7%A6%8F%E6%B4%8B%E9%85%92/data=!4m7!3m6!1s0x3442a889733a8c43:0xc8faa183adbc72ae!8m2!3d25.05375!4d121.4614633!16s%2Fg%2F11c5q_7p48!19sChIJQ4w6c4moQjQRrnK8rYOh-sg?authuser=0&hl=zh-TW&rclk=1
