店名,評分,評論數,地址,鏈接
星河,4.4 ,15,116台北市文山區木新路二段110號,https://www.google.com/maps/place/%E6%98%9F%E6%B2%B3/data=!4m7!3m6!1s0x3442aa77981e596f:0xf4b6e66998391e54!8m2!3d24.9846501!4d121.5699224!16s%2Fg%2F11kmpbzr3q!19sChIJb1kemHeqQjQRVB45mGnmtvQ?authuser=0&hl=zh-TW&rclk=1
甩泰餐酒館,4.6 ,970,116台北市文山區羅斯福路五段150巷59號,https://www.google.com/maps/place/%E7%94%A9%E6%B3%B0%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab5701d7ff47:0xbd0b88ff68bff8ba!8m2!3d25.007388!4d121.5378173!16s%2Fg%2F11p5rrf9z9!19sChIJR__XAVerQjQRuvi_aP-IC70?authuser=0&hl=zh-TW&rclk=1
獅子王KTV,4.2 ,"1,133",116台北市文山區羅斯福路四段200號號2樓,https://www.google.com/maps/place/%E7%8D%85%E5%AD%90%E7%8E%8BKTV/data=!4m7!3m6!1s0x3442a9e62d395ae3:0x9d4183867f2b4e5!8m2!3d25.0107691!4d121.5368091!16s%2Fg%2F11q_n2wq9r!19sChIJ41o5LeapQjQR5bTyZzgY1Ak?authuser=0&hl=zh-TW&rclk=1
藍曲音樂吧,5.0 ,1,116台北市文山區興隆路一段241號,https://www.google.com/maps/place/%E8%97%8D%E6%9B%B2%E9%9F%B3%E6%A8%82%E5%90%A7/data=!4m7!3m6!1s0x3442ab00117df58d:0xa5d459f5acc0ca10!8m2!3d24.9997393!4d121.5440531!16s%2Fg%2F11wfqgxydq!19sChIJjfV9EQCrQjQREMrArPVZ1KU?authuser=0&hl=zh-TW&rclk=1
Posino Taipei,5.0 ,"7,469",106台北市大安區基隆路二段128號2樓之2,https://www.google.com/maps/place/Posino+Taipei/data=!4m7!3m6!1s0x3442abad01e0c4c1:0x3e0f0fa7cacf0c84!8m2!3d25.0288695!4d121.5568661!16s%2Fg%2F11mr71nbjl!19sChIJwcTgAa2rQjQRhAzPyqcPDz4?authuser=0&hl=zh-TW&rclk=1
琴海卡啦ok,3.9 ,77,116台北市文山區興隆路一段100號,https://www.google.com/maps/place/%E7%90%B4%E6%B5%B7%E5%8D%A1%E5%95%A6ok/data=!4m7!3m6!1s0x3442aa1c5e0277d9:0x48ed2f63c7284d19!8m2!3d25.0029245!4d121.5412321!16s%2Fg%2F11fy4k8562!19sChIJ2XcCXhyqQjQRGU0ox2Mv7Ug?authuser=0&hl=zh-TW&rclk=1
尋俠堂葡萄酒鋪,4.6 ,189,116台北市文山區羅斯福路六段159巷1弄16號1樓,https://www.google.com/maps/place/%E5%B0%8B%E4%BF%A0%E5%A0%82%E8%91%A1%E8%90%84%E9%85%92%E9%8B%AA/data=!4m7!3m6!1s0x3442aa02897f3b27:0xc195352410bbe169!8m2!3d24.9980097!4d121.5410574!16s%2Fg%2F1tdlrzp0!19sChIJJzt_iQKqQjQRaeG7ECQ1lcE?authuser=0&hl=zh-TW&rclk=1
僾儷偲卡拉OK,4.7 ,35,116台北市文山區興隆路一段232號,https://www.google.com/maps/place/%E5%83%BE%E5%84%B7%E5%81%B2%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442aa1b4b3070fd:0xccc1ceda60d1bd33!8m2!3d24.9993368!4d121.5438539!16s%2Fg%2F11g0ft6mms!19sChIJ_XAwSxuqQjQRM73RYNrOwcw?authuser=0&hl=zh-TW&rclk=1
Lily 黃氣球酒吧,3.9 47 則評論,3.9 顆星 47,116台北市文山區興隆路三段185巷3弄4號,https://www.google.com/maps/place/Lily+%E9%BB%83%E6%B0%A3%E7%90%83%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abb2b9ce3275:0xb7451b784324eb5!8m2!3d24.995721!4d121.560891!16s%2Fg%2F11t3gdb_bb!19sChIJdTLOubKrQjQRtU4yhLdRdAs?authuser=0&hl=zh-TW&rclk=1
小酌串烤,4.4 ,130,116台北市文山區木新路二段127號,https://www.google.com/maps/place/%E5%B0%8F%E9%85%8C%E4%B8%B2%E7%83%A4/data=!4m7!3m6!1s0x3442abfcd7403bb7:0xf43d91d7fc301426!8m2!3d24.9840398!4d121.5694578!16s%2Fg%2F11q95d18_2!19sChIJtztA1_yrQjQRJhQw_NeRPfQ?authuser=0&hl=zh-TW&rclk=1
HarborEast 寮,5.0 ,1,"No. 58, 仙岩路文山區台北市116",https://www.google.com/maps/place/HarborEast+%E5%AF%AE/data=!4m7!3m6!1s0x3442ab004cae0509:0x5908edb83d6c9abd!8m2!3d24.9994772!4d121.5498679!16s%2Fg%2F11vm7gs3t4!19sChIJCQWuTACrQjQRvZpsPbjtCFk?authuser=0&hl=zh-TW&rclk=1
Mademan,4.6 ,189,116台北市文山區萬芳路9-1號號B1,https://www.google.com/maps/place/Mademan/data=!4m7!3m6!1s0x3442ab6f032f0ae5:0x1591bfaa7f7466b4!8m2!3d24.9984807!4d121.5704915!16s%2Fg%2F11g22wp1w2!19sChIJ5QovA2-rQjQRtGZ0f6q_kRU?authuser=0&hl=zh-TW&rclk=1
角字號小酒館 TCM PUB,4.8 ,22,23143新北市新店區順安街83號地下層,https://www.google.com/maps/place/%E8%A7%92%E5%AD%97%E8%99%9F%E5%B0%8F%E9%85%92%E9%A4%A8+TCM+PUB/data=!4m7!3m6!1s0x34680194f1b070df:0x7c47d6f7f73d44d3!8m2!3d24.9872092!4d121.5407399!16s%2Fg%2F11vwdng0x_!19sChIJ33Cw8ZQBaDQR00Q99_fWR3w?authuser=0&hl=zh-TW&rclk=1
A Nook Bistro 藏匿處,4.5 ,311,116台北市文山區景華街52巷2號,https://www.google.com/maps/place/A+Nook+Bistro+%E8%97%8F%E5%8C%BF%E8%99%95/data=!4m7!3m6!1s0x3442abe17986cb15:0x3056364bd3e8b25d!8m2!3d24.99458!4d121.5437375!16s%2Fg%2F11p5qd85b3!19sChIJFcuGeeGrQjQRXbLo00s2VjA?authuser=0&hl=zh-TW&rclk=1
木柵串霸,4.0 ,664,116台北市文山區木新路二段18號,https://www.google.com/maps/place/%E6%9C%A8%E6%9F%B5%E4%B8%B2%E9%9C%B8/data=!4m7!3m6!1s0x3442aa7744addb53:0xeada919881f22eb!8m2!3d24.9868354!4d121.5705332!16s%2Fg%2F11cncszvhb!19sChIJU9utRHeqQjQR6yIfiBmprQ4?authuser=0&hl=zh-TW&rclk=1
HOYDEA,4.2 ,129,116台北市文山區指南路二段72號,https://www.google.com/maps/place/HOYDEA/data=!4m7!3m6!1s0x3442aa652dda332f:0xcddc10d55ba8f7f5!8m2!3d24.9868081!4d121.578528!16s%2Fg%2F11b6cjkbm9!19sChIJLzPaLWWqQjQR9feoW9UQ3M0?authuser=0&hl=zh-TW&rclk=1
CBC SPACE 景美咖啡圖書館 Cafe Boven Co-working,4.6 ,463,116台北市文山區景興路193號,https://www.google.com/maps/place/CBC+SPACE+%E6%99%AF%E7%BE%8E%E5%92%96%E5%95%A1%E5%9C%96%E6%9B%B8%E9%A4%A8+Cafe+Boven+Co-working/data=!4m7!3m6!1s0x3442ab2c3471faad:0x8fd5cd47f3eaf5f2!8m2!3d24.9923871!4d121.5442589!16s%2Fg%2F11s166l5jb!19sChIJrfpxNCyrQjQR8vXq80fN1Y8?authuser=0&hl=zh-TW&rclk=1
Schumann’s BISTRO NO. 6 舒曼六號餐館 動物園政大店｜德國豬腳｜寵物友善,4.2 ,"1,184",116台北市文山區萬壽路6號,https://www.google.com/maps/place/Schumann%E2%80%99s+BISTRO+NO.+6+%E8%88%92%E6%9B%BC%E5%85%AD%E8%99%9F%E9%A4%90%E9%A4%A8+%E5%8B%95%E7%89%A9%E5%9C%92%E6%94%BF%E5%A4%A7%E5%BA%97%EF%BD%9C%E5%BE%B7%E5%9C%8B%E8%B1%AC%E8%85%B3%EF%BD%9C%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/data=!4m7!3m6!1s0x3442aa7b934a64a9:0xfff2b20cfb2304f9!8m2!3d24.987854!4d121.5759657!16s%2Fg%2F11c544s77q!19sChIJqWRKk3uqQjQR-QQj-wyy8v8?authuser=0&hl=zh-TW&rclk=1
