店名,評分,評論數,地址,鏈接
88 sports bar,4.5 ,81,104台北市中山區雙城街32巷4之2號,https://www.google.com/maps/place/88+sports+bar/data=!4m7!3m6!1s0x3442a945144ce0a9:0x61145b60889cf4ed!8m2!3d25.0661693!4d121.5237075!16s%2Fg%2F1pzs5kv0g!19sChIJqeBMFEWpQjQR7fSciGBbFGE?authuser=0&hl=zh-TW&rclk=1
雙溪碼頭河岸酒吧,5.0 ,2,112台北市北投區河美街32-8號,https://www.google.com/maps/place/%E9%9B%99%E6%BA%AA%E7%A2%BC%E9%A0%AD%E6%B2%B3%E5%B2%B8%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442af00417c391d:0xe71e06bda70cf8a1!8m2!3d25.096897!4d121.508873!16s%2Fg%2F11ln2sgkcj!19sChIJHTl8QQCvQjQRofgMp70GHuc?authuser=0&hl=zh-TW&rclk=1
散散步,4.6 ,561,224新北市瑞芳區祈堂路172號,https://www.google.com/maps/place/%E6%95%A3%E6%95%A3%E6%AD%A5/data=!4m10!3m9!1s0x345d44e16fc7b6fd:0x1c19c7ca3031ae91!5m2!4m1!1i2!8m2!3d25.1096561!4d121.8581931!16s%2Fg%2F11cn8s_w67!19sChIJ_bbHb-FEXTQRka4xMMrHGRw?authuser=0&hl=zh-TW&rclk=1
Mingle Bar&Bistro,4.8 ,492,,https://www.google.com/maps/place/Mingle+Bar%26Bistro/data=!4m7!3m6!1s0x3442a927b6b04623:0xf0f1115dc659b44b!8m2!3d25.0515951!4d121.5244462!16s%2Fg%2F11mvvbbv_3!19sChIJI0awtiepQjQRS7RZxl0R8fA?authuser=0&hl=zh-TW&rclk=1
Posino Taipei,5.0 ,"7,445",,https://www.google.com/maps/place/Posino+Taipei/data=!4m7!3m6!1s0x3442abad01e0c4c1:0x3e0f0fa7cacf0c84!8m2!3d25.0288695!4d121.5568661!16s%2Fg%2F11mr71nbjl!19sChIJwcTgAa2rQjQRhAzPyqcPDz4?authuser=0&hl=zh-TW&rclk=1
Loft 隱樓 Bar｜駐唱酒吧｜林口餐酒館,4.9 ,548,244新北市林口區仁愛路二段490-2號,https://www.google.com/maps/place/Loft+%E9%9A%B1%E6%A8%93+Bar%EF%BD%9C%E9%A7%90%E5%94%B1%E9%85%92%E5%90%A7%EF%BD%9C%E6%9E%97%E5%8F%A3%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a7d4c8a0b741:0x1ea9871ded1c17fb!8m2!3d25.0751009!4d121.3772962!16s%2Fg%2F11s758yxsj!19sChIJQbegyNSnQjQR-xcc7R2HqR4?authuser=0&hl=zh-TW&rclk=1
左轉靠右咖啡酒吧,4.5 ,442,242新北市新莊區福慧路6-1號,https://www.google.com/maps/place/%E5%B7%A6%E8%BD%89%E9%9D%A0%E5%8F%B3%E5%92%96%E5%95%A1%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a97398a488c7:0x9eef9633f19bf0ff!8m2!3d25.0639322!4d121.4630314!16s%2Fg%2F11ghfm_9zj!19sChIJx4ikmHOpQjQR__Cb8TOW754?authuser=0&hl=zh-TW&rclk=1
Purrson Bistro 呼嚕小酒館,4.7 ,"2,013",,https://www.google.com/maps/place/Purrson+Bistro+%E5%91%BC%E5%9A%95%E5%B0%8F%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab7de6c41451:0x55842883f4a73f82!8m2!3d24.9861386!4d121.5794751!16s%2Fg%2F11j21x07gz!19sChIJURTE5n2rQjQRgj-n9IMohFU?authuser=0&hl=zh-TW&rclk=1
pier salon & bar碼頭沙龍餐酒館,4.9 ,608,251新北市淡水區商店街8號淡水漁人碼頭 木棧道,https://www.google.com/maps/place/pier+salon+%26+bar%E7%A2%BC%E9%A0%AD%E6%B2%99%E9%BE%8D%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a534df438a61:0x156726c87823369f!8m2!3d25.1819839!4d121.412452!16s%2Fg%2F11j7dc9n4b!19sChIJYYpD3zSlQjQRnzYjeMgmZxU?authuser=0&hl=zh-TW&rclk=1
日久阿囉哈早餐店,3.2 ,70,227新北市雙溪區自強路,https://www.google.com/maps/place/%E6%97%A5%E4%B9%85%E9%98%BF%E5%9B%89%E5%93%88%E6%97%A9%E9%A4%90%E5%BA%97/data=!4m7!3m6!1s0x345d5ba8170ad809:0xe4d6c83244011498!8m2!3d25.0388182!4d121.8664123!16s%2Fg%2F11c7hdxm06!19sChIJCdgKF6hbXTQRmBQBRDLI1uQ?authuser=0&hl=zh-TW&rclk=1
定格餐酒DinggeBistro / bar,4.7 ,"1,291",234新北市永和區中和路421巷4號,https://www.google.com/maps/place/%E5%AE%9A%E6%A0%BC%E9%A4%90%E9%85%92DinggeBistro+%2F+bar/data=!4m7!3m6!1s0x3442a915eaa8b713:0x4675137e372f5b72!8m2!3d25.0009578!4d121.5089751!16s%2Fg%2F11g4kd4rzc!19sChIJE7eo6hWpQjQRclsvN34TdUY?authuser=0&hl=zh-TW&rclk=1
The 58 Bar,4.6 ,886,108台北市萬華區開封街二段58號,https://www.google.com/maps/place/The+58+Bar/data=!4m7!3m6!1s0x3442a90e95635d97:0x70eb6c64b31e0c4e!8m2!3d25.0464599!4d121.5072073!16s%2Fg%2F11byyfj732!19sChIJl11jlQ6pQjQRTgwes2Rs63A?authuser=0&hl=zh-TW&rclk=1
