店名,鏈接
爛泥 oozebar_taipei,https://www.google.com/maps/place/%E7%88%9B%E6%B3%A5+oozebar_taipei/data=!4m7!3m6!1s0x3442ab8f294d6fc9:0x2f789f51a38eea2b!8m2!3d25.0316237!4d121.5548248!16s%2Fg%2F11mvgkz78r!19sChIJyW9NKY-rQjQRK-qOo1GfeC8?authuser=0&hl=zh-TW&rclk=1
To Infinity & Beyond,https://www.google.com/maps/place/To+Infinity+%26+Beyond/data=!4m7!3m6!1s0x3442ab6699e2c0db:0x786c3722dc013964!8m2!3d25.0436904!4d121.547848!16s%2Fg%2F11j0nf6ngw!19sChIJ28DimWarQjQRZDkB3CI3bHg?authuser=0&hl=zh-TW&rclk=1
OriginBAR 序 ｜大安餐酒館 商務餐廳 酒吧 活動派對 生日包場,https://www.google.com/maps/place/OriginBAR+%E5%BA%8F+%EF%BD%9C%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8+%E5%95%86%E5%8B%99%E9%A4%90%E5%BB%B3+%E9%85%92%E5%90%A7+%E6%B4%BB%E5%8B%95%E6%B4%BE%E5%B0%8D+%E7%94%9F%E6%97%A5%E5%8C%85%E5%A0%B4/data=!4m7!3m6!1s0x3442abb5a2afd0e1:0x771b8fff053ca980!8m2!3d25.0431271!4d121.5478216!16s%2Fg%2F11stk1tv5c!19sChIJ4dCvorWrQjQRgKk8Bf-PG3c?authuser=0&hl=zh-TW&rclk=1
ROOM by Le Kief,https://www.google.com/maps/place/ROOM+by+Le+Kief/data=!4m7!3m6!1s0x3442ab626a2e2cb1:0x367d65af17bf0f5e!8m2!3d25.0243267!4d121.5500467!16s%2Fg%2F11f7r5p1h1!19sChIJsSwuamKrQjQRXg-_F69lfTY?authuser=0&hl=zh-TW&rclk=1
Bar Weekend,https://www.google.com/maps/place/Bar+Weekend/data=!4m7!3m6!1s0x3442abb744a90ad5:0x3041bfa7554bdb99!8m2!3d25.0360889!4d121.5418351!16s%2Fg%2F11j91nsc_g!19sChIJ1QqpRLerQjQRmdtLVae_QTA?authuser=0&hl=zh-TW&rclk=1
夜色Talking Bar,https://www.google.com/maps/place/%E5%A4%9C%E8%89%B2Talking+Bar/data=!4m7!3m6!1s0x3442ab4638cb06c7:0x39f92f4147c78dda!8m2!3d25.038795!4d121.5557103!16s%2Fg%2F11sty86v_9!19sChIJxwbLOEarQjQR2o3HR0Ev-Tk?authuser=0&hl=zh-TW&rclk=1
Bar Way Home,https://www.google.com/maps/place/Bar+Way+Home/data=!4m7!3m6!1s0x3442ab9df452860b:0x4e918c8629d7b8de!8m2!3d25.0300549!4d121.551159!16s%2Fg%2F11t4f4lpq7!19sChIJC4ZS9J2rQjQR3rjXKYaMkU4?authuser=0&hl=zh-TW&rclk=1
MADE Taipei-東區人氣酒吧|cp酒吧|必去酒吧|忠孝復興人氣酒吧|特色酒吧|熱門酒吧|餐酒館,https://www.google.com/maps/place/MADE+Taipei-%E6%9D%B1%E5%8D%80%E4%BA%BA%E6%B0%A3%E9%85%92%E5%90%A7%7Ccp%E9%85%92%E5%90%A7%7C%E5%BF%85%E5%8E%BB%E9%85%92%E5%90%A7%7C%E5%BF%A0%E5%AD%9D%E5%BE%A9%E8%88%88%E4%BA%BA%E6%B0%A3%E9%85%92%E5%90%A7%7C%E7%89%B9%E8%89%B2%E9%85%92%E5%90%A7%7C%E7%86%B1%E9%96%80%E9%85%92%E5%90%A7%7C%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab0685c325df:0x384468e11ce50014!8m2!3d25.041307!4d121.545908!16s%2Fg%2F11j90m4494!19sChIJ3yXDhQarQjQRFADlHOFoRDg?authuser=0&hl=zh-TW&rclk=1
OAK,https://www.google.com/maps/place/OAK/data=!4m7!3m6!1s0x3442abc54b7a6bbb:0xa6355d635206d8f5!8m2!3d25.0430581!4d121.5474257!16s%2Fg%2F11fk0h5mgr!19sChIJu2t6S8WrQjQR9dgGUmNdNaY?authuser=0&hl=zh-TW&rclk=1
tei by OBOND,https://www.google.com/maps/place/tei+by+OBOND/data=!4m7!3m6!1s0x3442ab997c16d655:0xfb7a47d5307c473d!8m2!3d25.0313039!4d121.5576814!16s%2Fg%2F11lfqdpf7r!19sChIJVdYWfJmrQjQRPUd8MNVHevs?authuser=0&hl=zh-TW&rclk=1
MUIM Taipei 放感情｜ 大安餐酒館推薦 人氣DJ酒吧 網美餐廳 酒吧 活動派對 生日包場 企業包場餐酒館,https://www.google.com/maps/place/MUIM+Taipei+%E6%94%BE%E6%84%9F%E6%83%85%EF%BD%9C+%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3DJ%E9%85%92%E5%90%A7+%E7%B6%B2%E7%BE%8E%E9%A4%90%E5%BB%B3+%E9%85%92%E5%90%A7+%E6%B4%BB%E5%8B%95%E6%B4%BE%E5%B0%8D+%E7%94%9F%E6%97%A5%E5%8C%85%E5%A0%B4+%E4%BC%81%E6%A5%AD%E5%8C%85%E5%A0%B4%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab8ec20bc4e3:0xb59161f805945770!8m2!3d25.0407657!4d121.5542503!16s%2Fg%2F11rt_ml9nj!19sChIJ48QLwo6rQjQRcFeUBfhhkbU?authuser=0&hl=zh-TW&rclk=1
浮侍 Ukitsu Bar,https://www.google.com/maps/place/%E6%B5%AE%E4%BE%8D+Ukitsu+Bar/data=!4m7!3m6!1s0x3442abdadd0f1199:0x734a97964df97abd!8m2!3d25.0430539!4d121.5481615!16s%2Fg%2F11vcp8hmfl!19sChIJmREP3dqrQjQRvXr5TZaXSnM?authuser=0&hl=zh-TW&rclk=1
SELF 私室 aka.最孤獨的小酒館,https://www.google.com/maps/place/SELF+%E7%A7%81%E5%AE%A4+aka.%E6%9C%80%E5%AD%A4%E7%8D%A8%E7%9A%84%E5%B0%8F%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442aa3338577c55:0xf7c708ac3c1ca7b3!8m2!3d25.0270645!4d121.5516757!16s%2Fg%2F11c5_w0p6m!19sChIJVXxXODOqQjQRs6ccPKwIx_c?authuser=0&hl=zh-TW&rclk=1
Zoo KeepeR,https://www.google.com/maps/place/Zoo+KeepeR/data=!4m7!3m6!1s0x3442abdb489fca67:0x73f677f9fb16bbb4!8m2!3d25.0260295!4d121.551729!16s%2Fg%2F11rhcdgqs5!19sChIJZ8qfSNurQjQRtLsW-_l39nM?authuser=0&hl=zh-TW&rclk=1
Bar Crouch & Hide 臥藏,https://www.google.com/maps/place/Bar+Crouch+%26+Hide+%E8%87%A5%E8%97%8F/data=!4m7!3m6!1s0x3442abc7cc50f941:0x2d407f5f8d8e541a!8m2!3d25.0356023!4d121.5572989!16s%2Fg%2F11pcmksdgh!19sChIJQflQzMerQjQRGlSOjV9_QC0?authuser=0&hl=zh-TW&rclk=1
米蓮娜茶餐酒吧,https://www.google.com/maps/place/%E7%B1%B3%E8%93%AE%E5%A8%9C%E8%8C%B6%E9%A4%90%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442aa31f54c44e1:0xf911c89d4a5573c9!8m2!3d25.0243952!4d121.5496528!16s%2Fg%2F11cmytxc40!19sChIJ4URM9TGqQjQRyXNVSp3IEfk?authuser=0&hl=zh-TW&rclk=1
EAST END,https://www.google.com/maps/place/EAST+END/data=!4m7!3m6!1s0x3442abdaf06c78c7:0x1d57f2497cfee0e4!8m2!3d25.0430266!4d121.5460243!16s%2Fg%2F11c3vwfwxb!19sChIJx3hs8NqrQjQR5OD-fEnyVx0?authuser=0&hl=zh-TW&rclk=1
PUN,https://www.google.com/maps/place/PUN/data=!4m7!3m6!1s0x3442abcbc14e34bd:0xfaa10e154b46672a!8m2!3d25.0326229!4d121.5558877!16s%2Fg%2F11g027g74m!19sChIJvTROwcurQjQRKmdGSxUOofo?authuser=0&hl=zh-TW&rclk=1
Bar Mood Taipei 吧沐,https://www.google.com/maps/place/Bar+Mood+Taipei+%E5%90%A7%E6%B2%90/data=!4m7!3m6!1s0x3442abdae220bb81:0xf0391805045a3335!8m2!3d25.043701!4d121.5466392!16s%2Fg%2F11f10673zb!19sChIJgbsg4tqrQjQRNTNaBAUYOfA?authuser=0&hl=zh-TW&rclk=1
Gravity 磁場,https://www.google.com/maps/place/Gravity+%E7%A3%81%E5%A0%B4/data=!4m7!3m6!1s0x3442ab6ab1d240f3:0xb105cd3fbfc55fc3!8m2!3d25.0269612!4d121.5517083!16s%2Fg%2F11h3g3r094!19sChIJ80DSsWqrQjQRw1_Fvz_NBbE?authuser=0&hl=zh-TW&rclk=1
放感情 Silk Road 絲路 | 台北大安餐酒館 大安水煙酒吧 異國風情酒吧 BAR 人氣美食 宵夜美食餐廳 大安必吃美食推薦 約會聚餐,https://www.google.com/maps/place/%E6%94%BE%E6%84%9F%E6%83%85+Silk+Road+%E7%B5%B2%E8%B7%AF+%7C+%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E6%B0%B4%E7%85%99%E9%85%92%E5%90%A7+%E7%95%B0%E5%9C%8B%E9%A2%A8%E6%83%85%E9%85%92%E5%90%A7+BAR+%E4%BA%BA%E6%B0%A3%E7%BE%8E%E9%A3%9F+%E5%AE%B5%E5%A4%9C%E7%BE%8E%E9%A3%9F%E9%A4%90%E5%BB%B3+%E5%A4%A7%E5%AE%89%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6+%E7%B4%84%E6%9C%83%E8%81%9A%E9%A4%90/data=!4m7!3m6!1s0x3442aba174eb9e7b:0xc2dc774eb648d78a!8m2!3d25.0425816!4d121.5531894!16s%2Fg%2F11tmsnh7gy!19sChIJe57rdKGrQjQRitdItk533MI?authuser=0&hl=zh-TW&rclk=1
ND.Official Nadarrach,https://www.google.com/maps/place/ND.Official+Nadarrach/data=!4m7!3m6!1s0x3442abd4946bc0c9:0x65b13489549be26d!8m2!3d25.0285741!4d121.5568004!16s%2Fg%2F11q3n6k4rn!19sChIJycBrlNSrQjQRbeKbVIk0sWU?authuser=0&hl=zh-TW&rclk=1
Mirror Lounge,https://www.google.com/maps/place/Mirror+Lounge/data=!4m7!3m6!1s0x3442abc5c8f5e311:0xd357e5cef7a01e54!8m2!3d25.0418903!4d121.552855!16s%2Fg%2F11gzr893q!19sChIJEeP1yMWrQjQRVB6g987lV9M?authuser=0&hl=zh-TW&rclk=1
Fourplay Cuisine,https://www.google.com/maps/place/Fourplay+Cuisine/data=!4m7!3m6!1s0x3442abd1fa93a035:0x542a6f8ec84205e3!8m2!3d25.0362109!4d121.5469335!16s%2Fg%2F113gx8bs9!19sChIJNaCT-tGrQjQR4wVCyI5vKlQ?authuser=0&hl=zh-TW&rclk=1
離城放感情 | 大安六張犁餐酒館 調酒BAR 人氣美食 老宅酒吧 特色酒吧推薦 網美餐酒館 寵物友善 深夜美食 熱門約會景點餐廳 巷弄酒吧 放感情,https://www.google.com/maps/place/%E9%9B%A2%E5%9F%8E%E6%94%BE%E6%84%9F%E6%83%85+%7C+%E5%A4%A7%E5%AE%89%E5%85%AD%E5%BC%B5%E7%8A%81%E9%A4%90%E9%85%92%E9%A4%A8+%E8%AA%BF%E9%85%92BAR+%E4%BA%BA%E6%B0%A3%E7%BE%8E%E9%A3%9F+%E8%80%81%E5%AE%85%E9%85%92%E5%90%A7+%E7%89%B9%E8%89%B2%E9%85%92%E5%90%A7%E6%8E%A8%E8%96%A6+%E7%B6%B2%E7%BE%8E%E9%A4%90%E9%85%92%E9%A4%A8+%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84+%E6%B7%B1%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E7%86%B1%E9%96%80%E7%B4%84%E6%9C%83%E6%99%AF%E9%BB%9E%E9%A4%90%E5%BB%B3+%E5%B7%B7%E5%BC%84%E9%85%92%E5%90%A7+%E6%94%BE%E6%84%9F%E6%83%85/data=!4m7!3m6!1s0x3442ab9f59485707:0x88744d5584602e8c!8m2!3d25.0222674!4d121.5525494!16s%2Fg%2F11h_78hd0c!19sChIJB1dIWZ-rQjQRjC5ghFVNdIg?authuser=0&hl=zh-TW&rclk=1
Bar Pine松,https://www.google.com/maps/place/Bar+Pine%E6%9D%BE/data=!4m7!3m6!1s0x3442ab643d29a831:0x58599d71d86fa2d0!8m2!3d25.0325141!4d121.553004!16s%2Fg%2F11t7dq454x!19sChIJMagpPWSrQjQR0KJv2HGdWVg?authuser=0&hl=zh-TW&rclk=1
MONO MONO,https://www.google.com/maps/place/MONO+MONO/data=!4m7!3m6!1s0x3442abcec8df560d:0xfe5e3aecc58743f4!8m2!3d25.0358149!4d121.5535283!16s%2Fg%2F1thsp2f_!19sChIJDVbfyM6rQjQR9EOHxew6Xv4?authuser=0&hl=zh-TW&rclk=1
