店名,鏈接
Shisha屋Matchill,https://www.google.com/maps/place/Shisha%E5%B1%8BMatchill/data=!4m7!3m6!1s0x3442ab96f7f4ad7f:0x7546b9b774f56d17!8m2!3d25.0463233!4d121.5708653!16s%2Fg%2F11swpnyx_m!19sChIJf63095arQjQRF231dLe5RnU?authuser=0&hl=zh-TW&rclk=1
綠洲信義 The Oasis Tavern Xinyi,https://www.google.com/maps/place/%E7%B6%A0%E6%B4%B2%E4%BF%A1%E7%BE%A9+The+Oasis+Tavern+Xinyi/data=!4m7!3m6!1s0x3442abad42dc4c15:0x920a7059399acc6e!8m2!3d25.0285447!4d121.5571409!16s%2Fg%2F11fw27fg1k!19sChIJFUzcQq2rQjQRbsyaOVlwCpI?authuser=0&hl=zh-TW&rclk=1
Escape Bar｜台北酒吧｜信義區酒吧｜台北餐酒館｜信義區餐酒館｜台北信義區B,https://www.google.com/maps/place/Escape+Bar%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%8D%80B/data=!4m7!3m6!1s0x3442ab6a15374dd7:0x6cd342cae6635ce3!8m2!3d25.0320572!4d121.5580747!16s%2Fg%2F11kpldjvyp!19sChIJ1003FWqrQjQR41xj5spC02w?authuser=0&hl=zh-TW&rclk=1
WOOBAR,https://www.google.com/maps/place/WOOBAR/data=!4m7!3m6!1s0x3442abb95768ddc1:0xc1aa2c9cc269375a!8m2!3d25.040568!4d121.5657577!16s%2Fg%2F1tg4j22f!19sChIJwd1oV7mrQjQRWjdpwpwsqsE?authuser=0&hl=zh-TW&rclk=1
MQ - Marquee Taipei,https://www.google.com/maps/place/MQ+-+Marquee+Taipei/data=!4m7!3m6!1s0x3442abb688a5e54d:0xf0f83d6abd6367f0!8m2!3d25.0325115!4d121.5631925!16s%2Fg%2F1vm784gw!19sChIJTeWliLarQjQR8GdjvWo9-PA?authuser=0&hl=zh-TW&rclk=1
Barcode,https://www.google.com/maps/place/Barcode/data=!4m7!3m6!1s0x3442abb0844fc4f5:0xdd2805e17ffbbafd!8m2!3d25.0354853!4d121.5681269!16s%2Fg%2F1tvm0gbg!19sChIJ9cRPhLCrQjQR_br7f-EFKN0?authuser=0&hl=zh-TW&rclk=1
四月餐廳酒吧 Fuzzy April Restaurant & Bar,https://www.google.com/maps/place/%E5%9B%9B%E6%9C%88%E9%A4%90%E5%BB%B3%E9%85%92%E5%90%A7+Fuzzy+April+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3442ab985f80751b:0xe29acfb522cfefb0!8m2!3d25.03732!4d121.559624!16s%2Fg%2F11s37fcbqf!19sChIJG3WAX5irQjQRsO_PIrXPmuI?authuser=0&hl=zh-TW&rclk=1
去憂餐酒館 Chill Bistro & Bar,https://www.google.com/maps/place/%E5%8E%BB%E6%86%82%E9%A4%90%E9%85%92%E9%A4%A8+Chill+Bistro+%26+Bar/data=!4m7!3m6!1s0x3442abb6c5767f0d:0x57727134be46f0c3!8m2!3d25.0322127!4d121.5587656!16s%2Fg%2F11g1ktl0k8!19sChIJDX92xbarQjQRw_BGvjRxclc?authuser=0&hl=zh-TW&rclk=1
Opium Champagne Bar,https://www.google.com/maps/place/Opium+Champagne+Bar/data=!4m7!3m6!1s0x3442ab97cfdce471:0x5e7edd77ad3b28d4!8m2!3d25.032635!4d121.5631337!16s%2Fg%2F11ftwg4jpc!19sChIJceTcz5erQjQR1Cg7rXfdfl4?authuser=0&hl=zh-TW&rclk=1
attic trade company,https://www.google.com/maps/place/attic+trade+company/data=!4m7!3m6!1s0x3442ab4cf4ffbfff:0x794a71dabaee4abe!8m2!3d25.032209!4d121.5589464!16s%2Fg%2F11f4z57r9l!19sChIJ_7__9EyrQjQRvkruutpxSnk?authuser=0&hl=zh-TW&rclk=1
tei by OBOND,https://www.google.com/maps/place/tei+by+OBOND/data=!4m7!3m6!1s0x3442ab997c16d655:0xfb7a47d5307c473d!8m2!3d25.0313039!4d121.5576814!16s%2Fg%2F11lfqdpf7r!19sChIJVdYWfJmrQjQRPUd8MNVHevs?authuser=0&hl=zh-TW&rclk=1
Drunk Play 爛醉不累,https://www.google.com/maps/place/Drunk+Play+%E7%88%9B%E9%86%89%E4%B8%8D%E7%B4%AF/data=!4m7!3m6!1s0x3442ab308068f431:0x27c616ca2d3c7cd9!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11pkcgcwk5!19sChIJMfRogDCrQjQR2Xw8LcoWxic?authuser=0&hl=zh-TW&rclk=1
CÉ LA VI 台北,https://www.google.com/maps/place/C%C3%89+LA+VI+%E5%8F%B0%E5%8C%97/data=!4m7!3m6!1s0x3442ab5b3896b905:0x1e74397cfefb7d35!8m2!3d25.0343502!4d121.5673825!16s%2Fg%2F11h6ns21gc!19sChIJBbmWOFurQjQRNX37_nw5dB4?authuser=0&hl=zh-TW&rclk=1
Frontline Bar & Restaurant,https://www.google.com/maps/place/Frontline+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3442ab759fa2db69:0x626d9c726fb62e86!8m2!3d25.03065!4d121.5575904!16s%2Fg%2F11j0cv58c1!19sChIJaduin3WrQjQRhi62b3KcbWI?authuser=0&hl=zh-TW&rclk=1
BAR24,https://www.google.com/maps/place/BAR24/data=!4m7!3m6!1s0x3442abf5137dea0b:0xc86331a439788865!8m2!3d25.035365!4d121.5679137!16s%2Fg%2F11k4jjmhgf!19sChIJC-p9E_WrQjQRZYh4OaQxY8g?authuser=0&hl=zh-TW&rclk=1
BLAH BLAH Bar,https://www.google.com/maps/place/BLAH+BLAH+Bar/data=!4m7!3m6!1s0x3442ab0039a39cc5:0x3e0a77fe369361a6!8m2!3d25.0382241!4d121.5667909!16s%2Fg%2F11y47fkn4y!19sChIJxZyjOQCrQjQRpmGTNv53Cj4?authuser=0&hl=zh-TW&rclk=1
BAR HINOKI,https://www.google.com/maps/place/BAR+HINOKI/data=!4m7!3m6!1s0x3442abeb1e329b8f:0xb00cceaa37a8bb6e!8m2!3d25.027834!4d121.55681!16s%2Fg%2F11twhsy2c2!19sChIJj5syHuurQjQRbruoN6rODLA?authuser=0&hl=zh-TW&rclk=1
Circle Gallery Bar 藝廊酒吧,https://www.google.com/maps/place/Circle+Gallery+Bar+%E8%97%9D%E5%BB%8A%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abb7ae5f8777:0x82d0d50bc5f80bb!8m2!3d25.0301208!4d121.5619421!16s%2Fg%2F11rxp30ms1!19sChIJd4dfrrerQjQRu4BfvFANLQg?authuser=0&hl=zh-TW&rclk=1
酒樂CAFE,https://www.google.com/maps/place/%E9%85%92%E6%A8%82CAFE/data=!4m7!3m6!1s0x3442abb0bd26651b:0x7a3c124aec42964a!8m2!3d25.0350044!4d121.5666081!16s%2Fg%2F12m96xj8z!19sChIJG2UmvbCrQjQRSpZC7EoSPHo?authuser=0&hl=zh-TW&rclk=1
双喜 Cié Cié Taipei 喜喜吧,https://www.google.com/maps/place/%E5%8F%8C%E5%96%9C+Ci%C3%A9+Ci%C3%A9+Taipei+%E5%96%9C%E5%96%9C%E5%90%A7/data=!4m7!3m6!1s0x3442ab1e95cd5c65:0x25bfff42da87a7b0!8m2!3d25.0355031!4d121.56786!16s%2Fg%2F11h_bv2123!19sChIJZVzNlR6rQjQRsKeH2kL_vyU?authuser=0&hl=zh-TW&rclk=1
双喜 Cié Cié Taipei 喜喜吧,https://www.google.com/maps/place/%E5%8F%8C%E5%96%9C+Ci%C3%A9+Ci%C3%A9+Taipei+%E5%96%9C%E5%96%9C%E5%90%A7/data=!4m7!3m6!1s0x3442ab1e95cd5c65:0x25bfff42da87a7b0!8m2!3d25.0355031!4d121.56786!16s%2Fg%2F11h_bv2123!19sChIJZVzNlR6rQjQRsKeH2kL_vyU?authuser=0&hl=zh-TW&rclk=1
W Taipei WET 池畔酒吧,https://www.google.com/maps/place/W+Taipei+WET+%E6%B1%A0%E7%95%94%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442aba4b2822781:0xc9fe2a2234122d3e!8m2!3d25.0408023!4d121.5655677!16s%2Fg%2F124ydp217!19sChIJgSeCsqSrQjQRPi0SNCIq_sk?authuser=0&hl=zh-TW&rclk=1
UNO Taipei | 🇲🇽Mezcal梅茲卡Bar,https://www.google.com/maps/place/UNO+Taipei+%7C+%F0%9F%87%B2%F0%9F%87%BDMezcal%E6%A2%85%E8%8C%B2%E5%8D%A1Bar/data=!4m7!3m6!1s0x3442abf870b2415d:0x46a52893bdf413d6!8m2!3d25.033788!4d121.559732!16s%2Fg%2F11s4xl9wnj!19sChIJXUGycPirQjQR1hP0vZMopUY?authuser=0&hl=zh-TW&rclk=1
IMAGE INHOUSE,https://www.google.com/maps/place/IMAGE+INHOUSE/data=!4m7!3m6!1s0x3442ab8085fda201:0x5c9fbc25dfdd4ad2!8m2!3d25.0348993!4d121.5670624!16s%2Fg%2F11t74b_3cr!19sChIJAaL9hYCrQjQR0krd3yW8n1w?authuser=0&hl=zh-TW&rclk=1
Sandalwood Taipei,https://www.google.com/maps/place/Sandalwood+Taipei/data=!4m7!3m6!1s0x3442abcd17b2dcb5:0xa74989c4e5e88d96!8m2!3d25.0287221!4d121.5571926!16s%2Fg%2F11sh29vx6r!19sChIJtdyyF82rQjQRlo3o5cSJSac?authuser=0&hl=zh-TW&rclk=1
